100,Bitcoin,BTC,2013-08-06,107.38200378417969,105.55699920654297,106.72000122070312,106.75,0.0,1229098150.0
101,Bitcoin,BTC,2013-08-07,106.75,106.75,106.75,106.75,0.0,1229098150.0
102,Bitcoin,BTC,2013-08-08,106.75,101.26000213623047,106.75,103.0,0.0,1187105900.0
103,Bitcoin,BTC,2013-08-09,105.75,101.93499755859375,103.06999969482422,102.80000305175781,0.0,1185307130.0
104,Bitcoin,BTC,2013-08-10,103.9000015258789,102.41000366210938,102.80000305175781,103.0,0.0,1188153925.0
105,Bitcoin,BTC,2013-08-11,105.19000244140625,102.75499725341797,103.0,105.0,0.0,1211789250.0
106,Bitcoin,BTC,2013-08-12,108.0,103.5,105.0,106.63600158691406,0.0,1231248580.9
107,Bitcoin,BTC,2013-08-13,109.3499984741211,104.6500015258789,106.98999786376953,109.0,0.0,1259042650.0
108,Bitcoin,BTC,2013-08-14,114.99500274658203,108.0009994506836,109.55500030517578,112.56199645996094,0.0,1300656724.05
109,Bitcoin,BTC,2013-08-15,113.24500274658203,109.0,112.56199645996094,109.98999786376953,0.0,1271404657.25
110,Bitcoin,BTC,2013-08-16,112.30000305175781,108.51699829101562,109.99500274658203,108.99400329589844,0.0,1260352119.0
111,Bitcoin,BTC,2013-08-17,113.75,108.2249984741211,108.99400329589844,113.5,0.0,1312996375.0
112,Bitcoin,BTC,2013-08-18,114.68800354003906,112.0,112.75,113.5,0.0,1313544012.5
113,Bitcoin,BTC,2013-08-19,123.06199645996094,111.77100372314453,113.37999725341797,119.0,0.0,1377725475.0
114,Bitcoin,BTC,2013-08-20,123.01100158691406,117.50800323486328,119.0,121.20500183105469,0.0,1403829641.38
115,Bitcoin,BTC,2013-08-21,124.91400146484375,119.68199920654297,121.20999908447266,123.30000305175781,0.0,1428698677.5
116,Bitcoin,BTC,2013-08-22,123.5,120.5999984741211,123.30000305175781,121.1500015258789,0.0,1404437432.5
117,Bitcoin,BTC,2013-08-23,122.0,118.44400024414062,122.0,118.5009994506836,0.0,1374309422.45
118,Bitcoin,BTC,2013-08-24,121.38999938964844,118.0199966430664,118.51000213623047,120.04499816894531,0.0,1392768092.25
119,Bitcoin,BTC,2013-08-25,122.98699951171875,119.16999816894531,119.60299682617188,122.11100006103516,0.0,1417198896.58
120,Bitcoin,BTC,2013-08-26,122.75499725341797,119.93000030517578,122.11100006103516,120.05599975585938,0.0,1393847158.6
121,Bitcoin,BTC,2013-08-27,127.23999786376953,120.06999969482422,120.06999969482422,126.5,0.0,1469193137.5
122,Bitcoin,BTC,2013-08-28,127.31999969482422,122.62000274658203,126.4800033569336,122.62000274658203,0.0,1424675797.5
123,Bitcoin,BTC,2013-08-29,123.69999694824219,122.20999908447266,122.62000274658203,122.38999938964844,0.0,1422584866.25
124,Bitcoin,BTC,2013-08-30,135.75,120.98999786376953,122.3499984741211,133.49000549316406,0.0,1552288465.0
125,Bitcoin,BTC,2013-08-31,140.88999938964844,132.72000122070312,133.08999633789062,135.35000610351562,0.0,1574672051.25
126,Bitcoin,BTC,2013-09-01,145.80999755859375,134.80999755859375,135.13999938964844,138.33999633789062,0.0,1610215347.0
127,Bitcoin,BTC,2013-09-02,146.5,134.88999938964844,138.6300048828125,135.85000610351562,0.0,1581969853.75
128,Bitcoin,BTC,2013-09-03,138.33999633789062,133.0,135.61000061035156,136.77000427246094,0.0,1593346565.25
129,Bitcoin,BTC,2013-09-04,144.5,123.61000061035156,136.52999877929688,126.73999786376953,0.0,1477012117.5
130,Bitcoin,BTC,2013-09-05,131.44000244140625,121.83000183105469,126.76000213623047,126.43000030517578,0.0,1473965190.5
131,Bitcoin,BTC,2013-09-06,127.33999633789062,119.1500015258789,126.48999786376953,119.1500015258789,0.0,1389646450.0
132,Bitcoin,BTC,2013-09-07,125.94000244140625,118.45999908447266,118.88999938964844,124.1500015258789,0.0,1448411493.75
133,Bitcoin,BTC,2013-09-08,124.72000122070312,120.48999786376953,124.12999725341797,121.66000366210938,0.0,1419836071.5
134,Bitcoin,BTC,2013-09-09,129.05999755859375,119.75,121.86000061035156,127.11000061035156,0.0,1484085516.0
135,Bitcoin,BTC,2013-09-10,129.74000549316406,125.9000015258789,127.2699966430664,125.91000366210938,0.0,1470679164.0
136,Bitcoin,BTC,2013-09-11,137.8300018310547,123.2699966430664,125.88999938964844,135.25,0.0,1580450350.0
137,Bitcoin,BTC,2013-09-12,136.0800018310547,131.80999755859375,135.5500030517578,133.1300048828125,0.0,1556386219.25
138,Bitcoin,BTC,2013-09-13,137.5800018310547,132.27000427246094,132.8300018310547,134.97999572753906,0.0,1578699084.0
139,Bitcoin,BTC,2013-09-14,135.85000610351562,128.8699951171875,135.00999450683594,129.22000122070312,0.0,1512038755.5
140,Bitcoin,BTC,2013-09-15,131.44000244140625,128.25999450683594,129.39999389648438,130.3699951171875,0.0,1526085146.0
141,Bitcoin,BTC,2013-09-16,132.72000122070312,129.77000427246094,130.86000061035156,131.72000122070312,0.0,1542395098.0
142,Bitcoin,BTC,2013-09-17,132.75999450683594,124.88999938964844,131.58999633789062,131.66000366210938,0.0,1542278406.0
143,Bitcoin,BTC,2013-09-18,133.1999969482422,130.5399932861328,131.7100067138672,131.47000122070312,0.0,1540598327.5
144,Bitcoin,BTC,2013-09-19,131.77000427246094,128.4499969482422,131.3699951171875,129.64999389648438,0.0,1519883708.75
145,Bitcoin,BTC,2013-09-20,135.6199951171875,126.68000030517578,129.6999969482422,127.04000091552734,0.0,1489921944.0
